text,location,date
"Garbage overflow in Central Park","Central Park, NYC","2024-01-15"
"Bad smell from drain on Broadway","Broadway St, NYC","2024-01-16"
"Construction dust everywhere on 5th Avenue","5th Avenue, NYC","2024-01-17"
"Unclean streets in Times Square","Times Square, NYC","2024-01-18"
"Sewage backup in Brooklyn","Brooklyn Heights, NYC","2024-01-19"
"Air pollution from construction site","Manhattan, NYC","2024-01-20"
"Garbage cans overflowing in Queens","Queens, NYC","2024-01-21"
"Bad odor from restaurant dumpster","Chelsea, NYC","2024-01-22"
"Construction debris blocking sidewalk","Upper East Side, NYC","2024-01-23"
"Unclean public restrooms in subway","Subway Station, NYC","2024-01-24" 
